Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Product_ID,Product_Name,Category,Subcategory,Province,Region_Group,City,Channel,Payment_Method,Ship_Mode,Quantity,Unit_Price_USD,Discount,Gross_Sales_USD,Discount_Amount_USD,Net_Sales_USD,Unit_Cost_USD,Total_Cost_USD,Profit_USD,Profit_Margin,Delivery_Days,Return_Status
ORD100020,2023-05-22,2023-05-25,C0429,Kabelo Chuma,Consumer,P1020,Office Desk 1200mm,Furniture,Desks,Gauteng,Inland,Soweto,Online,Card,Standard,3,182.94,0.05,548.82,27.44,521.38,121.29,363.87,157.51,0.3021,3,Not Returned
ORD100021,2025-11-20,2025-11-22,C0063,Nokuthula Naidoo,Consumer,P1013,Printer Toner Black,Office Supplies,Printing,Eastern Cape,Coastal,East London,Call Centre,Mobile Money,Collection,1,61.85,0.1,61.85,6.19,55.66,43.12,43.12,12.54,0.2253,2,Not Returned
ORD100022,2023-12-04,2023-12-09,C0256,Kabelo Patel,Consumer,P1027,Toaster 4 Slice,Home & Kitchen,Small Appliances,Mpumalanga,Inland,Middelburg,Corporate Account,Cash,Same Day,3,38.59,0.0,115.77,0.0,115.77,23.29,69.87,45.9,0.3965,5,Not Returned
ORD100023,2023-01-03,2023-01-09,C0314,Nokuthula Mabena,Consumer,P1023,Bookshelf 5 Tier,Furniture,Storage,Gauteng,Inland,Johannesburg,Online,Card,Same Day,1,81.42,0.0,81.42,0.0,81.42,53.29,53.29,28.13,0.3455,6,Not Returned
ORD100024,2025-05-09,2025-05-12,C0284,Mpho Dube,Small Business,P1017,Lever Arch File Pack,Office Supplies,Filing,Western Cape,Coastal,Stellenbosch,Online,Mobile Money,Collection,5,6.73,0.0,33.65,0.0,33.65,4.06,20.3,13.35,0.3967,3,Not Returned
ORD100025,2025-11-30,2025-12-02,C0327,Lerato Mabena,Consumer,P1025,Microwave 30L,Home & Kitchen,Appliances,Northern Cape,Inland,Upington,Corporate Account,EFT,Standard,1,94.08,0.0,94.08,0.0,94.08,65.03,65.03,29.05,0.3088,2,Not Returned
ORD100026,2024-06-26,2024-06-30,C0357,Mpho Mahlangu,Small Business,P1034,Laptop Backpack,Apparel,Bags,Western Cape,Coastal,Stellenbosch,Online,Card,Collection,2,29.97,0.0,59.94,0.0,59.94,15.86,31.72,28.22,0.4708,4,Not Returned
ORD100027,2024-10-30,2024-11-02,C0300,Chipo Khumalo,Corporate,P1016,Stapler Heavy Duty,Office Supplies,Desk Accessories,North West,Inland,Klerksdorp,Online,Cash,Express,1,9.03,0.0,9.03,0.0,9.03,4.94,4.94,4.09,0.4529,3,Returned
ORD100028,2024-12-29,2024-12-31,C0131,Thabo Khumalo,Consumer,P1013,Printer Toner Black,Office Supplies,Printing,Western Cape,Coastal,Stellenbosch,Online,Cash,Standard,10,62.76,0.05,627.6,31.38,596.22,43.26,432.6,163.62,0.2744,2,Not Returned
ORD100029,2025-08-06,2025-08-16,C0259,Nokuthula Williams,Small Business,P1011,Premium Notebook,Office Supplies,Paper & Stationery,Mpumalanga,Inland,Mbombela,Retail Store,Cash,Express,2,5.34,0.0,10.68,0.0,10.68,2.58,5.16,5.52,0.5169,10,Not Returned
ORD100030,2023-11-19,2023-11-24,C0449,Kudzai Ndlovu,Corporate,P1024,Reception Chair,Furniture,Chairs,Eastern Cape,Coastal,Mthatha,Online,EFT,Express,1,62.89,0.05,62.89,3.14,59.75,38.0,38.0,21.75,0.364,5,Not Returned
ORD100031,2024-06-16,2024-06-18,C0275,Thabo Mathebula,Small Business,P1018,Whiteboard Marker Set,Office Supplies,Presentation,Gauteng,Inland,Johannesburg,Corporate Account,EFT,Express,5,7.52,0.0,37.6,0.0,37.6,3.91,19.55,18.05,0.4801,2,Not Returned
ORD100032,2023-07-13,2023-07-17,C0131,Thabo Khumalo,Consumer,P1022,Filing Cabinet 4 Drawer,Furniture,Storage,Western Cape,Coastal,Stellenbosch,Online,Cash,Same Day,2,109.06,0.0,218.12,0.0,218.12,67.99,135.98,82.14,0.3766,4,Not Returned
ORD100033,2024-12-17,2024-12-21,C0094,Brian Sibanda,Consumer,P1008,External SSD 1TB,Technology,Storage,Western Cape,Coastal,Stellenbosch,Online,EFT,Collection,1,70.86,0.15,70.86,10.63,60.23,50.98,50.98,9.25,0.1536,4,Not Returned
ORD100034,2023-06-26,2023-06-28,C0046,Nandi Mathebula,Consumer,P1016,Stapler Heavy Duty,Office Supplies,Desk Accessories,Gauteng,Inland,Soweto,Online,Mobile Money,Collection,2,8.81,0.05,17.62,0.88,16.74,4.6,9.2,7.54,0.4504,2,Not Returned
ORD100035,2023-12-07,2023-12-12,C0116,Brian Mokoena,Small Business,P1008,External SSD 1TB,Technology,Storage,Gauteng,Inland,Pretoria,Corporate Account,Card,Standard,2,67.77,0.0,135.54,0.0,135.54,48.35,96.7,38.84,0.2866,5,Not Returned
ORD100036,2023-07-24,2023-07-30,C0428,Thabo Maseko,Consumer,P1020,Office Desk 1200mm,Furniture,Desks,Western Cape,Coastal,Bellville,Online,EFT,Express,3,172.67,0.0,518.01,0.0,518.01,135.14,405.42,112.59,0.2174,6,Not Returned
ORD100037,2024-08-27,2024-09-01,C0432,Thabo Chuma,Small Business,P1032,Safety Shoes,Apparel,Footwear,Gauteng,Inland,Midrand,Online,Card,Standard,4,45.68,0.05,182.72,9.14,173.58,27.37,109.48,64.1,0.3693,5,Not Returned
ORD100038,2025-12-12,2025-12-14,C0359,Zanele Khumalo,Corporate,P1033,Reflective Jacket,Apparel,Workwear,KwaZulu-Natal,Coastal,Pinetown,Call Centre,Cash,Standard,1,20.27,0.0,20.27,0.0,20.27,11.37,11.37,8.9,0.4391,2,Not Returned
ORD100039,2025-09-19,2025-09-21,C0115,Nokuthula Gumede,Consumer,P1009,HDMI Cable,Technology,Accessories,Free State,Inland,Sasolburg,Online,Card,Express,2,6.67,0.05,13.34,0.67,12.67,3.06,6.12,6.55,0.517,2,Not Returned
ORD100040,2023-03-02,2023-03-04,C0245,Precious Khumalo,Consumer,P1026,Kettle Stainless Steel,Home & Kitchen,Small Appliances,Eastern Cape,Coastal,East London,Call Centre,EFT,Express,3,22.92,0.05,68.76,3.44,65.32,13.37,40.11,25.21,0.3859,2,Returned
ORD100041,2024-04-21,2024-04-25,C0013,Farai Ndlovu,Consumer,P1028,Air Fryer 5L,Home & Kitchen,Appliances,Gauteng,Inland,Soweto,Online,Cash,Collection,4,114.38,0.0,457.52,0.0,457.52,78.54,314.16,143.36,0.3133,4,Not Returned
ORD100042,2023-04-25,2023-04-28,C0307,Lerato Mathebula,Consumer,P1020,Office Desk 1200mm,Furniture,Desks,Gauteng,Inland,Soweto,Call Centre,Card,Collection,1,198.96,0.05,198.96,9.95,189.01,127.76,127.76,61.25,0.3241,3,Not Returned
ORD100043,2025-11-30,2025-12-05,C0239,Thabo Nkosi,Consumer,P1028,Air Fryer 5L,Home & Kitchen,Appliances,Gauteng,Inland,Soweto,Retail Store,Card,Express,2,107.27,0.0,214.54,0.0,214.54,80.94,161.88,52.66,0.2455,5,Not Returned
ORD100044,2023-10-19,2023-10-24,C0325,Kabelo Ndlovu,Corporate,P1030,Dinner Set 16 Piece,Home & Kitchen,Dining,Gauteng,Inland,Soweto,Corporate Account,EFT,Standard,1,42.11,0.0,42.11,0.0,42.11,23.87,23.87,18.24,0.4332,5,Not Returned
ORD100045,2023-06-30,2023-07-07,C0377,Kabelo Mokoena,Small Business,P1030,Dinner Set 16 Piece,Home & Kitchen,Dining,Limpopo,Inland,Tzaneen,Retail Store,Card,Express,5,41.44,0.0,207.2,0.0,207.2,24.69,123.45,83.75,0.4042,7,Returned
ORD100046,2023-09-25,2023-10-02,C0259,Nokuthula Williams,Small Business,P1001,Laptop Pro 14,Technology,Laptops,Mpumalanga,Inland,Mbombela,Corporate Account,Card,Standard,1,660.57,0.0,660.57,0.0,660.57,483.58,483.58,176.99,0.2679,7,Not Returned
ORD100047,2023-10-18,2023-10-24,C0143,Nomsa Maseko,Consumer,P1035,Rain Jacket,Apparel,Outerwear,Western Cape,Coastal,Stellenbosch,Call Centre,Card,Collection,1,36.46,0.15,36.46,5.47,30.99,19.0,19.0,11.99,0.3869,6,Not Returned
ORD100048,2025-03-21,2025-03-25,C0129,Nandi Ndlovu,Corporate,P1001,Laptop Pro 14,Technology,Laptops,Free State,Inland,Bloemfontein,Call Centre,Cash,Standard,2,688.41,0.2,1376.82,275.36,1101.46,453.82,907.64,193.82,0.176,4,Not Returned
ORD100049,2025-09-24,2025-09-26,C0281,Zanele Ndlovu,Small Business,P1018,Whiteboard Marker Set,Office Supplies,Presentation,Limpopo,Inland,Tzaneen,Retail Store,Mobile Money,Collection,3,8.17,0.05,24.51,1.23,23.28,4.09,12.27,11.01,0.4729,2,Not Returned
ORD100050,2024-04-02,2024-04-06,C0267,Farai Dube,Small Business,P1006,Keyboard Combo,Technology,Accessories,Eastern Cape,Coastal,Gqeberha,Retail Store,Card,Standard,1,25.3,0.1,25.3,2.53,22.77,12.69,12.69,10.08,0.4427,4,Not Returned
ORD100051,2023-01-04,2023-01-10,C0394,Kabelo Ndlovu,Small Business,P1005,Wireless Mouse,Technology,Accessories,Gauteng,Inland,Pretoria,Call Centre,Mobile Money,Standard,3,10.31,0.1,30.93,3.09,27.84,5.77,17.31,10.53,0.3782,6,Not Returned
ORD100052,2024-10-13,2024-10-17,C0314,Nokuthula Mabena,Consumer,P1024,Reception Chair,Furniture,Chairs,Gauteng,Inland,Johannesburg,Online,EFT,Standard,2,58.81,0.0,117.62,0.0,117.62,36.25,72.5,45.12,0.3836,4,Not Returned
ORD100053,2023-06-09,2023-06-12,C0421,Chipo Khumalo,Corporate,P1001,Laptop Pro 14,Technology,Laptops,KwaZulu-Natal,Coastal,Pinetown,Call Centre,Cash,Express,1,659.23,0.05,659.23,32.96,626.27,470.54,470.54,155.73,0.2487,3,Not Returned
ORD100054,2024-11-18,2024-11-22,C0335,Nokuthula Ndlovu,Corporate,P1035,Rain Jacket,Apparel,Outerwear,Gauteng,Inland,Midrand,Online,Card,Standard,1,35.1,0.0,35.1,0.0,35.1,20.06,20.06,15.04,0.4285,4,Not Returned
ORD100055,2024-12-23,2024-12-28,C0317,Sibusiso Dube,Consumer,P1001,Laptop Pro 14,Technology,Laptops,Western Cape,Coastal,George,Corporate Account,Card,Standard,1,681.62,0.05,681.62,34.08,647.54,448.78,448.78,198.76,0.3069,5,Not Returned
ORD100056,2025-09-08,2025-09-10,C0145,Zanele Mathebula,Consumer,P1034,Laptop Backpack,Apparel,Bags,Free State,Inland,Sasolburg,Online,Card,Collection,3,34.3,0.05,102.9,5.15,97.75,18.25,54.75,43.0,0.4399,2,Not Returned
ORD100057,2023-03-10,2023-03-15,C0386,Nandi Chuma,Consumer,P1025,Microwave 30L,Home & Kitchen,Appliances,Limpopo,Inland,Thohoyandou,Online,Card,Standard,5,83.46,0.1,417.3,41.73,375.57,64.48,322.4,53.17,0.1416,5,Not Returned
ORD100058,2023-06-03,2023-06-05,C0342,Sibusiso Williams,Consumer,P1023,Bookshelf 5 Tier,Furniture,Storage,Northern Cape,Inland,Upington,Call Centre,Mobile Money,Express,1,81.06,0.0,81.06,0.0,81.06,57.59,57.59,23.47,0.2895,2,Not Returned
ORD100059,2025-06-02,2025-06-04,C0367,Sibusiso Nkosi,Small Business,P1034,Laptop Backpack,Apparel,Bags,Mpumalanga,Inland,Mbombela,Online,Card,Standard,1,33.18,0.05,33.18,1.66,31.52,17.28,17.28,14.24,0.4518,2,Not Returned
ORD100060,2024-01-25,2024-01-27,C0397,Kabelo Sibanda,Corporate,P1028,Air Fryer 5L,Home & Kitchen,Appliances,Mpumalanga,Inland,Emalahleni,Retail Store,EFT,Standard,5,111.47,0.1,557.35,55.74,501.61,77.82,389.1,112.51,0.2243,2,Not Returned
ORD100061,2023-12-20,2023-12-23,C0203,Thabo Chuma,Corporate,P1016,Stapler Heavy Duty,Office Supplies,Desk Accessories,Gauteng,Inland,Soweto,Online,Cash,Express,2,9.68,0.0,19.36,0.0,19.36,4.37,8.74,10.62,0.5486,3,Returned
ORD100062,2023-06-27,2023-06-29,C0028,Sibusiso Mahlangu,Corporate,P1020,Office Desk 1200mm,Furniture,Desks,Western Cape,Coastal,George,Online,Cash,Standard,1,186.31,0.0,186.31,0.0,186.31,138.66,138.66,47.65,0.2558,2,Not Returned
ORD100063,2025-03-25,2025-03-28,C0413,Blessing Naidoo,Small Business,P1003,Business Laptop 15,Technology,Laptops,Gauteng,Inland,Midrand,Retail Store,Card,Standard,1,589.92,0.0,589.92,0.0,589.92,398.09,398.09,191.83,0.3252,3,Not Returned
ORD100064,2025-02-20,2025-02-24,C0489,Sibusiso Patel,Corporate,P1010,A4 Copy Paper Box,Office Supplies,Paper & Stationery,Western Cape,Coastal,George,Retail Store,Card,Standard,3,24.81,0.1,74.43,7.44,66.99,14.72,44.16,22.83,0.3408,4,Not Returned
ORD100065,2023-06-11,2023-06-14,C0252,Precious Maseko,Corporate,P1011,Premium Notebook,Office Supplies,Paper & Stationery,Western Cape,Coastal,George,Online,Cash,Standard,5,4.71,0.0,23.55,0.0,23.55,2.55,12.75,10.8,0.4586,3,Not Returned
ORD100066,2023-05-05,2023-05-09,C0201,Tendai Mathebula,Consumer,P1035,Rain Jacket,Apparel,Outerwear,Eastern Cape,Coastal,Gqeberha,Retail Store,Cash,Standard,1,37.4,0.05,37.4,1.87,35.53,20.1,20.1,15.43,0.4343,4,Not Returned
ORD100067,2024-04-27,2024-04-30,C0016,Mpho Patel,Consumer,P1016,Stapler Heavy Duty,Office Supplies,Desk Accessories,KwaZulu-Natal,Coastal,Umhlanga,Retail Store,EFT,Collection,3,10.15,0.15,30.45,4.57,25.88,4.15,12.45,13.43,0.5189,3,Not Returned
ORD100068,2023-12-23,2023-12-26,C0500,Nandi Moyo,Corporate,P1009,HDMI Cable,Technology,Accessories,Gauteng,Inland,Soweto,Corporate Account,Card,Standard,4,5.82,0.0,23.28,0.0,23.28,3.02,12.08,11.2,0.4811,3,Not Returned
ORD100069,2025-07-15,2025-07-21,C0241,Tendai Mthembu,Small Business,P1029,Cookware Set,Home & Kitchen,Cookware,Gauteng,Inland,Johannesburg,Corporate Account,Card,Standard,1,76.21,0.0,76.21,0.0,76.21,51.7,51.7,24.51,0.3216,6,Not Returned
ORD100070,2025-03-24,2025-03-28,C0338,Precious Nkosi,Small Business,P1004,Chromebook Edu,Technology,Laptops,Free State,Inland,Bloemfontein,Corporate Account,Card,Express,2,305.49,0.1,610.98,61.1,549.88,229.21,458.42,91.46,0.1663,4,Not Returned
ORD100071,2025-12-06,2025-12-09,C0160,Amina Gumede,Small Business,P1023,Bookshelf 5 Tier,Furniture,Storage,Northern Cape,Inland,Kimberley,Retail Store,EFT,Same Day,1,88.81,0.2,88.81,17.76,71.05,55.32,55.32,15.73,0.2214,3,Not Returned
ORD100072,2023-07-25,2023-07-28,C0447,Tendai Mthembu,Corporate,P1016,Stapler Heavy Duty,Office Supplies,Desk Accessories,Mpumalanga,Inland,Middelburg,Online,EFT,Standard,2,8.64,0.15,17.28,2.59,14.69,4.71,9.42,5.27,0.3587,3,Not Returned
ORD100073,2025-04-21,2025-04-27,C0162,Farai Mabena,Small Business,P1026,Kettle Stainless Steel,Home & Kitchen,Small Appliances,KwaZulu-Natal,Coastal,Pinetown,Retail Store,Card,Standard,2,25.19,0.0,50.38,0.0,50.38,14.46,28.92,21.46,0.426,6,Not Returned
ORD100074,2025-11-29,2025-12-05,C0344,Sibusiso Naidoo,Consumer,P1016,Stapler Heavy Duty,Office Supplies,Desk Accessories,KwaZulu-Natal,Coastal,Pinetown,Call Centre,Mobile Money,Standard,3,8.72,0.1,26.16,2.62,23.54,4.67,14.01,9.53,0.4048,6,Not Returned
ORD100075,2024-09-12,2024-09-15,C0261,Precious Gumede,Small Business,P1023,Bookshelf 5 Tier,Furniture,Storage,Mpumalanga,Inland,Middelburg,Retail Store,Mobile Money,Standard,1,86.65,0.15,86.65,13.0,73.65,53.72,53.72,19.93,0.2706,3,Not Returned
ORD100076,2024-09-07,2024-09-11,C0478,Kudzai Patel,Small Business,P1016,Stapler Heavy Duty,Office Supplies,Desk Accessories,Mpumalanga,Inland,Mbombela,Online,Card,Express,3,8.03,0.0,24.09,0.0,24.09,4.42,13.26,10.83,0.4496,4,Not Returned
ORD100077,2024-01-20,2024-01-24,C0335,Nokuthula Ndlovu,Corporate,P1022,Filing Cabinet 4 Drawer,Furniture,Storage,Gauteng,Inland,Midrand,Retail Store,EFT,Standard,2,113.08,0.0,226.16,0.0,226.16,70.73,141.46,84.7,0.3745,4,Not Returned
ORD100078,2023-04-26,2023-04-29,C0183,Mpho Mabena,Small Business,P1006,Keyboard Combo,Technology,Accessories,North West,Inland,Rustenburg,Retail Store,Card,Collection,1,20.99,0.1,20.99,2.1,18.89,13.92,13.92,4.97,0.2631,3,Not Returned
ORD100079,2023-07-08,2023-07-11,C0398,Sibusiso Mthembu,Consumer,P1033,Reflective Jacket,Apparel,Workwear,Western Cape,Coastal,Stellenbosch,Corporate Account,Cash,Standard,1,20.5,0.05,20.5,1.03,19.47,10.75,10.75,8.72,0.4479,3,Not Returned
ORD100080,2025-08-08,2025-08-10,C0105,Zanele Maseko,Corporate,P1020,Office Desk 1200mm,Furniture,Desks,Mpumalanga,Inland,Mbombela,Online,Card,Express,1,184.09,0.15,184.09,27.61,156.48,130.05,130.05,26.43,0.1689,2,Not Returned
ORD100081,2023-12-30,2024-01-03,C0475,Nokuthula Williams,Small Business,P1005,Wireless Mouse,Technology,Accessories,Gauteng,Inland,Soweto,Online,Cash,Standard,1,9.13,0.1,9.13,0.91,8.22,4.72,4.72,3.5,0.4258,4,Not Returned
ORD100082,2023-07-05,2023-07-12,C0244,Nomsa Dube,Small Business,P1018,Whiteboard Marker Set,Office Supplies,Presentation,Mpumalanga,Inland,Middelburg,Retail Store,Mobile Money,Collection,10,7.68,0.0,76.8,0.0,76.8,4.22,42.2,34.6,0.4505,7,Not Returned
ORD100083,2024-04-06,2024-04-11,C0231,Blessing Maseko,Consumer,P1031,Corporate Shirt,Apparel,Workwear,Gauteng,Inland,Midrand,Online,Cash,Express,2,16.82,0.0,33.64,0.0,33.64,6.96,13.92,19.72,0.5862,5,Not Returned
ORD100084,2023-01-19,2023-01-22,C0108,Tariro Nkosi,Consumer,P1030,Dinner Set 16 Piece,Home & Kitchen,Dining,Northern Cape,Inland,Upington,Corporate Account,Card,Express,1,40.28,0.0,40.28,0.0,40.28,23.95,23.95,16.33,0.4054,3,Not Returned
ORD100085,2024-09-17,2024-09-19,C0279,Sipho Mokoena,Small Business,P1017,Lever Arch File Pack,Office Supplies,Filing,Western Cape,Coastal,Bellville,Corporate Account,Cash,Standard,3,8.25,0.15,24.75,3.71,21.04,4.25,12.75,8.29,0.394,2,Not Returned
ORD100086,2024-03-22,2024-03-25,C0100,Nokuthula Maseko,Small Business,P1023,Bookshelf 5 Tier,Furniture,Storage,Eastern Cape,Coastal,Gqeberha,Online,Card,Standard,1,83.25,0.15,83.25,12.49,70.76,54.99,54.99,15.77,0.2229,3,Not Returned
ORD100087,2025-02-05,2025-02-06,C0295,Mpho Sibanda,Small Business,P1005,Wireless Mouse,Technology,Accessories,Gauteng,Inland,Pretoria,Retail Store,EFT,Standard,4,10.13,0.0,40.52,0.0,40.52,5.0,20.0,20.52,0.5064,1,Not Returned
ORD100088,2024-07-20,2024-07-24,C0299,Farai Mthembu,Corporate,P1012,Ballpoint Pen Pack,Office Supplies,Paper & Stationery,KwaZulu-Natal,Coastal,Umhlanga,Retail Store,Mobile Money,Standard,10,4.55,0.1,45.5,4.55,40.95,2.03,20.3,20.65,0.5043,4,Not Returned
ORD100089,2023-11-04,2023-11-07,C0330,Amina Mathebula,Consumer,P1017,Lever Arch File Pack,Office Supplies,Filing,North West,Inland,Mahikeng,Corporate Account,Cash,Standard,3,8.42,0.0,25.26,0.0,25.26,4.03,12.09,13.17,0.5214,3,Returned
ORD100090,2024-10-16,2024-10-19,C0140,Sipho Gumede,Corporate,P1031,Corporate Shirt,Apparel,Workwear,KwaZulu-Natal,Coastal,Durban,Call Centre,Card,Standard,5,15.89,0.1,79.45,7.95,71.5,7.27,36.35,35.15,0.4916,3,Not Returned
ORD100091,2025-03-06,2025-03-08,C0074,Sipho Williams,Consumer,P1029,Cookware Set,Home & Kitchen,Cookware,Mpumalanga,Inland,Emalahleni,Corporate Account,Card,Express,1,68.93,0.05,68.93,3.45,65.48,48.95,48.95,16.53,0.2524,2,Not Returned
ORD100092,2025-12-30,2025-12-31,C0083,Tendai Sibanda,Small Business,P1013,Printer Toner Black,Office Supplies,Printing,Gauteng,Inland,Pretoria,Online,Card,Standard,10,57.54,0.1,575.4,57.54,517.86,44.64,446.4,71.46,0.138,1,Not Returned
ORD100093,2024-01-06,2024-01-10,C0089,Amina Sibanda,Consumer,P1003,Business Laptop 15,Technology,Laptops,Gauteng,Inland,Pretoria,Retail Store,EFT,Collection,1,551.55,0.15,551.55,82.73,468.82,449.7,449.7,19.12,0.0408,4,Not Returned
ORD100094,2024-11-18,2024-11-24,C0153,Precious Naidoo,Small Business,P1034,Laptop Backpack,Apparel,Bags,Gauteng,Inland,Soweto,Corporate Account,Card,Collection,1,29.87,0.1,29.87,2.99,26.88,16.81,16.81,10.07,0.3746,6,Not Returned
ORD100095,2025-01-31,2025-02-10,C0240,Tendai Mthembu,Corporate,P1005,Wireless Mouse,Technology,Accessories,Gauteng,Inland,Midrand,Retail Store,Cash,Express,1,8.97,0.2,8.97,1.79,7.18,5.27,5.27,1.91,0.266,10,Not Returned
ORD100096,2023-05-26,2023-06-01,C0471,Nandi Moyo,Small Business,P1013,Printer Toner Black,Office Supplies,Printing,Gauteng,Inland,Johannesburg,Retail Store,EFT,Standard,5,55.44,0.0,277.2,0.0,277.2,42.41,212.05,65.15,0.235,6,Not Returned
