Customer_ID,Customer_Name,Segment,Province,Region_Group,City,Customer_Since
C0061,Amina Sibanda,Small Business,Northern Cape,Inland,Kimberley,2024-12-10
C0062,Tariro Moyo,Consumer,North West,Inland,Mahikeng,2024-06-30
C0063,Nokuthula Naidoo,Consumer,Eastern Cape,Coastal,East London,2024-11-21
C0064,Tendai Nkosi,Consumer,Mpumalanga,Inland,Emalahleni,2021-12-17
C0065,Chipo Sibanda,Consumer,Eastern Cape,Coastal,East London,2021-11-03
C0066,Mpho Maseko,Small Business,Gauteng,Inland,Midrand,2023-10-23
C0067,Sibusiso Chuma,Small Business,Gauteng,Inland,Soweto,2020-12-31
C0068,Nandi Naidoo,Consumer,KwaZulu-Natal,Coastal,Umhlanga,2024-02-01
C0069,Farai Gumede,Corporate,KwaZulu-Natal,Coastal,Pinetown,2023-03-26
C0070,Zanele Naidoo,Consumer,Western Cape,Coastal,Bellville,2022-01-15
C0071,Tariro Maseko,Small Business,North West,Inland,Klerksdorp,2021-10-04
C0072,Lerato Williams,Corporate,Eastern Cape,Coastal,East London,2022-04-04
C0073,Chipo Patel,Consumer,Eastern Cape,Coastal,East London,2023-10-19
C0074,Sipho Williams,Consumer,Mpumalanga,Inland,Emalahleni,2021-08-10
C0075,Zanele Gumede,Small Business,KwaZulu-Natal,Coastal,Umhlanga,2022-08-10
C0076,Nomsa Mokoena,Corporate,KwaZulu-Natal,Coastal,Pietermaritzburg,2023-09-11
C0077,Thabo Williams,Corporate,KwaZulu-Natal,Coastal,Umhlanga,2020-07-10
C0078,Nokuthula Williams,Consumer,Gauteng,Inland,Johannesburg,2020-04-04
C0079,Nokuthula Nkosi,Corporate,Free State,Inland,Welkom,2022-04-28
C0080,Nandi Mahlangu,Corporate,Western Cape,Coastal,Stellenbosch,2021-05-14
C0081,Amina Moyo,Small Business,Limpopo,Inland,Polokwane,2024-05-13
C0082,Tariro Sibanda,Consumer,North West,Inland,Klerksdorp,2022-08-09
C0083,Tendai Sibanda,Small Business,Gauteng,Inland,Pretoria,2024-06-29
C0084,Nomsa Mathebula,Small Business,KwaZulu-Natal,Coastal,Pinetown,2023-06-08
C0085,Precious Gumede,Small Business,KwaZulu-Natal,Coastal,Pietermaritzburg,2024-03-03
C0086,Brian Mokoena,Consumer,Gauteng,Inland,Soweto,2024-04-17
C0087,Precious Nkosi,Corporate,Gauteng,Inland,Johannesburg,2024-01-01
C0088,Chipo Sibanda,Consumer,Gauteng,Inland,Johannesburg,2020-10-10
C0089,Amina Sibanda,Consumer,Gauteng,Inland,Pretoria,2020-05-11
C0090,Tariro Gumede,Consumer,Western Cape,Coastal,Cape Town,2021-02-27
C0091,Tariro Mabena,Small Business,KwaZulu-Natal,Coastal,Durban,2024-10-20
C0092,Nandi Mabena,Consumer,North West,Inland,Mahikeng,2024-03-23
C0093,Kabelo Gumede,Corporate,Free State,Inland,Sasolburg,2021-03-27
C0094,Brian Sibanda,Consumer,Western Cape,Coastal,Stellenbosch,2021-11-19
C0095,Kabelo Khumalo,Small Business,North West,Inland,Klerksdorp,2022-12-29
C0096,Rumbidzai Mabena,Corporate,Eastern Cape,Coastal,Gqeberha,2023-08-09
C0097,Tariro Patel,Small Business,Gauteng,Inland,Soweto,2022-02-15
C0098,Farai Mahlangu,Consumer,Western Cape,Coastal,Stellenbosch,2021-07-23
C0099,Tariro Naidoo,Small Business,Western Cape,Coastal,Cape Town,2021-12-17
C0100,Nokuthula Maseko,Small Business,Eastern Cape,Coastal,Gqeberha,2021-05-21
C0101,Zanele Moyo,Corporate,Gauteng,Inland,Midrand,2023-10-03
C0102,Lerato Mahlangu,Consumer,Gauteng,Inland,Soweto,2020-12-09
C0103,Kudzai Dube,Small Business,Gauteng,Inland,Soweto,2020-08-09
C0104,Nandi Moyo,Small Business,KwaZulu-Natal,Coastal,Pinetown,2022-03-23
C0105,Zanele Maseko,Corporate,Mpumalanga,Inland,Mbombela,2020-07-27
C0106,Chipo Dube,Small Business,KwaZulu-Natal,Coastal,Durban,2021-12-12
C0107,Sibusiso Gumede,Corporate,Gauteng,Inland,Soweto,2020-01-26
C0108,Tariro Nkosi,Consumer,Northern Cape,Inland,Upington,2023-12-19
C0109,Amina Gumede,Consumer,KwaZulu-Natal,Coastal,Umhlanga,2023-06-15
C0110,Sibusiso Nkosi,Consumer,Mpumalanga,Inland,Middelburg,2021-07-03
C0111,Farai Sibanda,Small Business,Gauteng,Inland,Midrand,2021-05-14
C0112,Nomsa Mabena,Consumer,KwaZulu-Natal,Coastal,Umhlanga,2021-01-07
C0113,Brian Mahlangu,Consumer,Gauteng,Inland,Soweto,2024-12-07
C0114,Kudzai Naidoo,Corporate,KwaZulu-Natal,Coastal,Pietermaritzburg,2020-06-24
C0115,Nokuthula Gumede,Consumer,Free State,Inland,Sasolburg,2022-09-02
C0116,Brian Mokoena,Small Business,Gauteng,Inland,Pretoria,2022-04-08
C0117,Nokuthula Williams,Corporate,Western Cape,Coastal,George,2022-05-21
C0118,Sibusiso Chuma,Consumer,Western Cape,Coastal,George,2021-05-29
C0119,Nokuthula Dube,Corporate,Gauteng,Inland,Pretoria,2021-01-27
C0120,Zanele Nkosi,Consumer,KwaZulu-Natal,Coastal,Umhlanga,2020-07-24
C0121,Zanele Williams,Consumer,Gauteng,Inland,Johannesburg,2023-12-21
C0122,Sibusiso Patel,Consumer,Northern Cape,Inland,Upington,2023-11-29
C0123,Amina Nkosi,Consumer,Gauteng,Inland,Soweto,2022-08-19
C0124,Brian Mokoena,Consumer,Northern Cape,Inland,Upington,2024-10-30
C0125,Brian Dube,Small Business,Western Cape,Coastal,Cape Town,2023-03-27
C0126,Tendai Patel,Consumer,KwaZulu-Natal,Coastal,Umhlanga,2020-06-23
C0127,Nokuthula Dube,Corporate,Western Cape,Coastal,Bellville,2024-05-07
C0128,Precious Mabena,Consumer,Western Cape,Coastal,Stellenbosch,2021-09-17
C0129,Nandi Ndlovu,Corporate,Free State,Inland,Bloemfontein,2023-07-05
C0130,Zanele Naidoo,Corporate,Gauteng,Inland,Pretoria,2023-02-04
C0131,Thabo Khumalo,Consumer,Western Cape,Coastal,Stellenbosch,2021-08-19
C0132,Tendai Sibanda,Consumer,Gauteng,Inland,Midrand,2020-05-25
C0133,Nokuthula Naidoo,Small Business,KwaZulu-Natal,Coastal,Pietermaritzburg,2022-05-20
C0134,Lerato Sibanda,Corporate,Limpopo,Inland,Polokwane,2020-05-26
C0135,Tendai Khumalo,Small Business,KwaZulu-Natal,Coastal,Umhlanga,2022-06-18
C0136,Lerato Mokoena,Corporate,Eastern Cape,Coastal,East London,2022-10-21
C0137,Sibusiso Nkosi,Consumer,KwaZulu-Natal,Coastal,Pinetown,2024-02-13
C0138,Farai Naidoo,Consumer,Gauteng,Inland,Johannesburg,2024-04-15
C0139,Mpho Ndlovu,Small Business,Gauteng,Inland,Midrand,2021-07-23
C0140,Sipho Gumede,Corporate,KwaZulu-Natal,Coastal,Durban,2022-08-20
C0141,Blessing Gumede,Consumer,Eastern Cape,Coastal,Gqeberha,2021-11-06
C0142,Tariro Nkosi,Consumer,North West,Inland,Klerksdorp,2020-03-16
C0143,Nomsa Maseko,Consumer,Western Cape,Coastal,Stellenbosch,2024-11-06
C0144,Precious Moyo,Corporate,KwaZulu-Natal,Coastal,Pinetown,2020-04-21
C0145,Zanele Mathebula,Consumer,Free State,Inland,Sasolburg,2022-06-24
C0146,Tendai Mahlangu,Consumer,Gauteng,Inland,Soweto,2022-06-16
C0147,Brian Dube,Consumer,KwaZulu-Natal,Coastal,Pietermaritzburg,2023-12-24
C0148,Sipho Williams,Corporate,KwaZulu-Natal,Coastal,Durban,2021-04-05
C0149,Lerato Mokoena,Small Business,Eastern Cape,Coastal,Gqeberha,2022-10-17
C0150,Chipo Mathebula,Corporate,Western Cape,Coastal,Stellenbosch,2022-08-25
C0151,Nokuthula Mokoena,Corporate,Western Cape,Coastal,Bellville,2024-11-04
C0152,Thabo Naidoo,Small Business,Limpopo,Inland,Tzaneen,2024-06-01
C0153,Precious Naidoo,Small Business,Gauteng,Inland,Soweto,2024-09-11
C0154,Nandi Nkosi,Small Business,Western Cape,Coastal,Stellenbosch,2021-12-07
C0155,Farai Mabena,Consumer,Western Cape,Coastal,Bellville,2023-11-29
C0156,Nokuthula Mabena,Consumer,Mpumalanga,Inland,Mbombela,2021-10-13
C0157,Brian Mabena,Consumer,Eastern Cape,Coastal,Mthatha,2020-11-07
C0158,Brian Ndlovu,Consumer,Northern Cape,Inland,Upington,2024-11-16
C0159,Lerato Mokoena,Consumer,North West,Inland,Rustenburg,2024-01-19
C0160,Amina Gumede,Small Business,Northern Cape,Inland,Kimberley,2022-08-19
C0161,Mpho Chuma,Corporate,Western Cape,Coastal,Cape Town,2024-10-10
C0162,Farai Mabena,Small Business,KwaZulu-Natal,Coastal,Pinetown,2024-11-21
C0163,Sibusiso Ndlovu,Corporate,Gauteng,Inland,Soweto,2021-04-10
C0164,Thabo Gumede,Small Business,Free State,Inland,Sasolburg,2024-11-22
C0165,Lerato Mokoena,Consumer,Gauteng,Inland,Johannesburg,2020-04-04
C0166,Farai Ndlovu,Consumer,Western Cape,Coastal,Bellville,2021-05-15
C0167,Precious Gumede,Corporate,Mpumalanga,Inland,Mbombela,2020-12-24
C0168,Thabo Mabena,Corporate,Gauteng,Inland,Pretoria,2021-04-20
C0169,Nomsa Naidoo,Consumer,Eastern Cape,Coastal,East London,2021-08-12
C0170,Sibusiso Khumalo,Consumer,North West,Inland,Klerksdorp,2021-09-04
C0171,Tariro Naidoo,Consumer,Gauteng,Inland,Midrand,2024-10-13
C0172,Brian Dube,Consumer,KwaZulu-Natal,Coastal,Umhlanga,2023-12-03
C0173,Chipo Moyo,Small Business,Eastern Cape,Coastal,East London,2020-01-17
C0174,Nandi Ndlovu,Small Business,Free State,Inland,Welkom,2024-05-07
C0175,Nokuthula Mthembu,Consumer,Gauteng,Inland,Soweto,2023-10-20
C0176,Amina Dube,Small Business,Eastern Cape,Coastal,East London,2024-06-03
C0177,Nomsa Ndlovu,Corporate,Free State,Inland,Bloemfontein,2021-08-27
C0178,Farai Gumede,Consumer,Gauteng,Inland,Soweto,2022-12-23
C0179,Precious Naidoo,Small Business,Gauteng,Inland,Midrand,2024-07-09
C0180,Chipo Chuma,Small Business,Western Cape,Coastal,Cape Town,2020-10-15
C0181,Nokuthula Mabena,Small Business,Mpumalanga,Inland,Emalahleni,2020-07-03
C0182,Kabelo Moyo,Consumer,Gauteng,Inland,Soweto,2023-10-09
C0183,Mpho Mabena,Small Business,North West,Inland,Rustenburg,2023-10-14
C0184,Nokuthula Nkosi,Consumer,Limpopo,Inland,Thohoyandou,2021-11-02
C0185,Kudzai Sibanda,Corporate,KwaZulu-Natal,Coastal,Pinetown,2023-12-06
C0186,Chipo Gumede,Consumer,Gauteng,Inland,Johannesburg,2021-09-15
C0187,Brian Dube,Consumer,Limpopo,Inland,Polokwane,2022-03-06
C0188,Nomsa Mthembu,Corporate,Free State,Inland,Sasolburg,2022-05-08
C0189,Nandi Patel,Small Business,Eastern Cape,Coastal,East London,2023-06-14
C0190,Tariro Naidoo,Consumer,Western Cape,Coastal,Stellenbosch,2022-06-29
C0191,Nokuthula Mthembu,Consumer,Eastern Cape,Coastal,Mthatha,2023-08-13
C0192,Blessing Ndlovu,Consumer,Gauteng,Inland,Johannesburg,2024-10-02
C0193,Nomsa Maseko,Corporate,Eastern Cape,Coastal,Mthatha,2020-02-13
C0194,Tendai Chuma,Consumer,Gauteng,Inland,Pretoria,2020-05-20
C0195,Sibusiso Mahlangu,Corporate,Mpumalanga,Inland,Mbombela,2021-11-03
C0196,Amina Moyo,Consumer,Northern Cape,Inland,Kimberley,2023-01-11
C0197,Mpho Khumalo,Consumer,Limpopo,Inland,Polokwane,2020-01-31
C0198,Blessing Sibanda,Corporate,Gauteng,Inland,Soweto,2020-04-17
C0199,Amina Gumede,Corporate,Free State,Inland,Welkom,2022-07-07
C0200,Blessing Mathebula,Corporate,Western Cape,Coastal,Bellville,2023-06-13
C0201,Tendai Mathebula,Consumer,Eastern Cape,Coastal,Gqeberha,2020-05-04
C0202,Brian Mabena,Consumer,Gauteng,Inland,Midrand,2020-05-30
C0203,Thabo Chuma,Corporate,Gauteng,Inland,Soweto,2023-07-02
C0204,Nandi Chuma,Consumer,KwaZulu-Natal,Coastal,Umhlanga,2022-07-18
C0205,Precious Gumede,Consumer,Eastern Cape,Coastal,Mthatha,2023-08-26
C0206,Sibusiso Mahlangu,Consumer,Limpopo,Inland,Tzaneen,2021-11-25
C0207,Nomsa Mabena,Consumer,Gauteng,Inland,Midrand,2021-10-02
C0208,Mpho Mthembu,Small Business,Eastern Cape,Coastal,East London,2020-05-17
C0209,Thabo Maseko,Consumer,Gauteng,Inland,Soweto,2024-07-20
C0210,Amina Ndlovu,Corporate,KwaZulu-Natal,Coastal,Umhlanga,2023-10-04
C0211,Lerato Gumede,Consumer,Eastern Cape,Coastal,East London,2024-11-12
C0212,Tendai Williams,Corporate,Western Cape,Coastal,Bellville,2020-11-12
C0213,Brian Sibanda,Small Business,Western Cape,Coastal,George,2020-08-23
C0214,Mpho Sibanda,Small Business,Mpumalanga,Inland,Middelburg,2023-06-10
C0215,Sibusiso Moyo,Corporate,Eastern Cape,Coastal,Mthatha,2021-07-01
C0216,Rumbidzai Khumalo,Consumer,Free State,Inland,Welkom,2021-12-19
C0217,Rumbidzai Khumalo,Small Business,KwaZulu-Natal,Coastal,Pinetown,2020-05-22
C0218,Amina Moyo,Consumer,KwaZulu-Natal,Coastal,Pinetown,2022-05-09
C0219,Nomsa Chuma,Consumer,Gauteng,Inland,Soweto,2024-05-09
C0220,Nandi Maseko,Small Business,Gauteng,Inland,Johannesburg,2023-10-12
C0221,Thabo Naidoo,Consumer,Western Cape,Coastal,Stellenbosch,2022-04-28
C0222,Mpho Mahlangu,Small Business,Gauteng,Inland,Midrand,2020-08-15
C0223,Chipo Nkosi,Corporate,Gauteng,Inland,Pretoria,2022-03-20
C0224,Kudzai Ndlovu,Consumer,Gauteng,Inland,Pretoria,2024-04-20
C0225,Amina Naidoo,Consumer,Gauteng,Inland,Midrand,2024-03-09
C0226,Tariro Khumalo,Consumer,KwaZulu-Natal,Coastal,Pietermaritzburg,2022-10-21
C0227,Sibusiso Mthembu,Consumer,Limpopo,Inland,Polokwane,2022-06-12
C0228,Rumbidzai Mokoena,Small Business,Limpopo,Inland,Thohoyandou,2022-05-29
C0229,Nandi Mabena,Corporate,Western Cape,Coastal,Cape Town,2022-04-09
C0230,Rumbidzai Chuma,Consumer,North West,Inland,Mahikeng,2024-08-30
C0231,Blessing Maseko,Consumer,Gauteng,Inland,Midrand,2023-04-21
C0232,Kabelo Mathebula,Consumer,Limpopo,Inland,Thohoyandou,2021-11-26
C0233,Nokuthula Chuma,Small Business,Gauteng,Inland,Johannesburg,2022-12-22
C0234,Precious Mahlangu,Small Business,Western Cape,Coastal,Bellville,2021-04-28
C0235,Lerato Patel,Consumer,Gauteng,Inland,Pretoria,2024-04-05
C0236,Thabo Khumalo,Small Business,KwaZulu-Natal,Coastal,Pinetown,2024-03-25
C0237,Nandi Mokoena,Corporate,Limpopo,Inland,Thohoyandou,2023-07-25
C0238,Kudzai Chuma,Small Business,KwaZulu-Natal,Coastal,Pietermaritzburg,2022-06-19
C0239,Thabo Nkosi,Consumer,Gauteng,Inland,Soweto,2023-04-26
C0240,Tendai Mthembu,Corporate,Gauteng,Inland,Midrand,2020-03-18
C0241,Tendai Mthembu,Small Business,Gauteng,Inland,Johannesburg,2023-06-13
C0242,Kudzai Mathebula,Consumer,KwaZulu-Natal,Coastal,Durban,2022-07-10
C0243,Nandi Mahlangu,Consumer,Western Cape,Coastal,Bellville,2020-05-06
C0244,Nomsa Dube,Small Business,Mpumalanga,Inland,Middelburg,2020-06-21
C0245,Precious Khumalo,Consumer,Eastern Cape,Coastal,East London,2022-12-09
C0246,Precious Khumalo,Consumer,North West,Inland,Mahikeng,2022-04-17
C0247,Farai Ndlovu,Small Business,Eastern Cape,Coastal,Gqeberha,2021-11-06
C0248,Lerato Mabena,Consumer,Free State,Inland,Sasolburg,2023-05-19
C0249,Amina Chuma,Consumer,Eastern Cape,Coastal,East London,2021-09-27
C0250,Kabelo Patel,Corporate,North West,Inland,Mahikeng,2023-02-18
C0251,Kabelo Chuma,Small Business,Eastern Cape,Coastal,Mthatha,2023-11-04
C0252,Precious Maseko,Corporate,Western Cape,Coastal,George,2020-02-07
C0253,Blessing Williams,Consumer,Gauteng,Inland,Midrand,2021-01-28
C0254,Nokuthula Patel,Consumer,Gauteng,Inland,Johannesburg,2022-11-05
C0255,Sibusiso Mathebula,Consumer,Western Cape,Coastal,Bellville,2023-05-08
C0256,Kabelo Patel,Consumer,Mpumalanga,Inland,Middelburg,2024-07-14
C0257,Sipho Mokoena,Consumer,Western Cape,Coastal,Bellville,2022-06-28
C0258,Kudzai Williams,Small Business,Mpumalanga,Inland,Mbombela,2022-12-29
C0259,Nokuthula Williams,Small Business,Mpumalanga,Inland,Mbombela,2022-01-23
C0260,Nandi Mokoena,Consumer,Gauteng,Inland,Midrand,2022-10-26
C0261,Precious Gumede,Small Business,Mpumalanga,Inland,Middelburg,2020-10-10
C0262,Mpho Ndlovu,Corporate,Limpopo,Inland,Thohoyandou,2020-07-29
C0263,Precious Dube,Consumer,Free State,Inland,Welkom,2022-07-09
C0264,Precious Patel,Small Business,Gauteng,Inland,Pretoria,2024-07-30
C0265,Nomsa Mthembu,Small Business,Western Cape,Coastal,Stellenbosch,2022-10-25
C0266,Blessing Sibanda,Consumer,Gauteng,Inland,Pretoria,2020-02-27
C0267,Farai Dube,Small Business,Eastern Cape,Coastal,Gqeberha,2020-10-08
C0268,Tendai Williams,Small Business,Western Cape,Coastal,Bellville,2024-04-03
C0269,Brian Mokoena,Corporate,Limpopo,Inland,Polokwane,2021-06-08
C0270,Zanele Patel,Corporate,Free State,Inland,Sasolburg,2022-05-16
C0271,Lerato Williams,Consumer,Gauteng,Inland,Pretoria,2022-05-09
C0272,Kudzai Mokoena,Consumer,Mpumalanga,Inland,Emalahleni,2023-05-07
C0273,Sibusiso Moyo,Corporate,KwaZulu-Natal,Coastal,Pietermaritzburg,2021-08-19
C0274,Tariro Moyo,Corporate,Gauteng,Inland,Midrand,2021-01-18
C0275,Thabo Mathebula,Small Business,Gauteng,Inland,Johannesburg,2022-03-10
C0276,Brian Ndlovu,Corporate,Northern Cape,Inland,Upington,2024-03-10
C0277,Rumbidzai Mthembu,Small Business,Western Cape,Coastal,Cape Town,2024-04-29
C0278,Nandi Chuma,Consumer,Western Cape,Coastal,George,2024-07-24
C0279,Sipho Mokoena,Small Business,Western Cape,Coastal,Bellville,2024-07-19
C0280,Amina Maseko,Corporate,North West,Inland,Rustenburg,2021-08-23
C0281,Zanele Ndlovu,Small Business,Limpopo,Inland,Tzaneen,2021-09-27
C0282,Precious Mabena,Small Business,KwaZulu-Natal,Coastal,Umhlanga,2020-03-15
C0283,Zanele Williams,Consumer,Mpumalanga,Inland,Middelburg,2021-11-10
C0284,Mpho Dube,Small Business,Western Cape,Coastal,Stellenbosch,2024-03-02
C0285,Nomsa Mabena,Consumer,Gauteng,Inland,Midrand,2022-01-22
C0286,Precious Naidoo,Small Business,Free State,Inland,Bloemfontein,2022-05-31
C0287,Kudzai Khumalo,Corporate,Western Cape,Coastal,Cape Town,2021-11-02
C0288,Chipo Williams,Consumer,Free State,Inland,Bloemfontein,2023-11-13
C0289,Nomsa Mthembu,Consumer,Free State,Inland,Welkom,2023-06-13
C0290,Tariro Naidoo,Corporate,Mpumalanga,Inland,Mbombela,2020-06-02
C0291,Kabelo Mthembu,Corporate,Free State,Inland,Bloemfontein,2020-03-04
C0292,Amina Mokoena,Consumer,Gauteng,Inland,Soweto,2022-01-11
C0293,Kabelo Ndlovu,Corporate,Eastern Cape,Coastal,East London,2022-01-31
C0294,Nomsa Maseko,Corporate,KwaZulu-Natal,Coastal,Pinetown,2021-10-05
C0295,Mpho Sibanda,Small Business,Gauteng,Inland,Pretoria,2022-10-19
C0296,Precious Mabena,Small Business,Gauteng,Inland,Soweto,2023-12-12
C0297,Nomsa Mahlangu,Small Business,Gauteng,Inland,Midrand,2021-02-13
C0298,Lerato Patel,Small Business,Western Cape,Coastal,Stellenbosch,2020-06-28
C0299,Farai Mthembu,Corporate,KwaZulu-Natal,Coastal,Umhlanga,2024-12-30
C0300,Chipo Khumalo,Corporate,North West,Inland,Klerksdorp,2020-12-22
C0301,Blessing Mathebula,Consumer,Northern Cape,Inland,Kimberley,2021-04-29
C0302,Brian Moyo,Consumer,KwaZulu-Natal,Coastal,Pinetown,2024-07-03
C0303,Sibusiso Patel,Corporate,Gauteng,Inland,Soweto,2022-03-26
C0304,Brian Mathebula,Consumer,Western Cape,Coastal,Cape Town,2020-09-13
C0305,Farai Maseko,Consumer,Eastern Cape,Coastal,East London,2020-09-19
C0306,Sibusiso Khumalo,Small Business,Gauteng,Inland,Johannesburg,2024-08-29
C0307,Lerato Mathebula,Consumer,Gauteng,Inland,Soweto,2023-12-23
C0308,Nokuthula Mthembu,Small Business,KwaZulu-Natal,Coastal,Umhlanga,2024-09-28
C0309,Thabo Naidoo,Consumer,North West,Inland,Mahikeng,2020-09-13
C0310,Chipo Maseko,Corporate,Gauteng,Inland,Pretoria,2020-12-16
C0311,Kudzai Chuma,Small Business,KwaZulu-Natal,Coastal,Durban,2020-06-15
C0312,Tendai Naidoo,Corporate,Free State,Inland,Welkom,2023-06-19
C0313,Rumbidzai Nkosi,Small Business,KwaZulu-Natal,Coastal,Umhlanga,2022-09-16
C0314,Nokuthula Mabena,Consumer,Gauteng,Inland,Johannesburg,2020-11-19
C0315,Nomsa Gumede,Consumer,Gauteng,Inland,Pretoria,2021-10-02
C0316,Farai Mthembu,Small Business,Gauteng,Inland,Soweto,2022-11-20
C0317,Sibusiso Dube,Consumer,Western Cape,Coastal,George,2022-07-09
C0318,Nokuthula Patel,Consumer,Gauteng,Inland,Midrand,2024-11-04
C0319,Kudzai Gumede,Consumer,Limpopo,Inland,Polokwane,2024-07-24
C0320,Farai Chuma,Consumer,Gauteng,Inland,Midrand,2022-10-18
C0321,Chipo Nkosi,Consumer,North West,Inland,Klerksdorp,2022-07-25
C0322,Nokuthula Mahlangu,Corporate,Gauteng,Inland,Soweto,2022-10-10
C0323,Kudzai Nkosi,Consumer,Gauteng,Inland,Johannesburg,2022-06-01
C0324,Amina Naidoo,Corporate,Free State,Inland,Welkom,2020-04-02
